Target_genes	ATF3|Average	SRX190245|A549	SRX2207915|CS1AN	SRX2207916|CS1AN	SRX2207917|CS1AN	SRX2207918|CS1AN	SRX1759184|Dermal_fibroblast	SRX1759186|Dermal_fibroblast	SRX109484|GBM1-HAM	SRX100553|GM12878	SRX1384025|HCT_116	SRX1384026|HCT_116	SRX1384029|HCT_116	SRX190213|HCT_116	SRX100548|Hep_G2	SRX100557|hESC_H1	SRX100425|K-562	SRX150471|K-562	STRING
TRIAP1	984.941176	180	328	524	0	341	0	0	0	2070	1860	728	2134	737	1914	2468	1994	1466	0
SSNA1	976.764706	383	265	366	0	261	0	0	0	2366	1934	913	1779	495	2083	2346	2024	1390	0
ANAPC2	976.764706	383	265	366	0	261	0	0	0	2366	1934	913	1779	495	2083	2346	2024	1390	0
CWC25	967.588235	517	226	542	0	178	0	0	0	2432	1775	568	1702	526	2066	2467	2035	1415	0
WASHC5	910.764706	513	0	440	0	336	0	574	159	2346	1260	352	1105	783	2027	2235	2106	1247	0
NSMCE2	910.764706	513	0	440	0	336	0	574	159	2346	1260	352	1105	783	2027	2235	2106	1247	0
TBL3	908.882353	279	189	355	0	267	0	0	0	2054	1687	697	1788	317	1928	2295	2083	1512	0
RBM42	848.705882	418	478	679	0	258	0	0	0	1731	1278	391	1545	338	1621	2051	2107	1533	0
TRMT61B	848.647059	372	249	586	0	173	0	0	0	1970	1451	610	1582	493	1921	1742	2054	1224	0
GZF1	816.647059	411	0	1072	0	410	0	1168	0	852	1996	187	1849	1461	1322	1508	1401	246	0
NOC4L	801.470588	346	112	236	0	220	0	98	0	1911	1670	531	1280	735	1674	1896	1889	1027	0
DDX51	801.470588	346	112	236	0	220	0	98	0	1911	1670	531	1280	735	1674	1896	1889	1027	0
KLHL12	798.058824	329	0	952	0	553	0	652	0	2008	1006	0	860	684	1692	2137	1973	721	0
FAF1	795.941176	261	98	377	0	447	0	0	0	2416	1028	273	756	436	2228	2305	1932	974	0
WASHC2C	790.764706	834	0	0	0	315	0	188	0	2444	462	0	373	672	2098	2494	1964	1599	0
AP5Z1	788.294118	380	0	122	0	294	0	230	0	2490	833	0	341	427	2233	2513	2040	1498	0
TRMO	788.117647	705	0	709	0	382	0	335	153	2088	1441	0	616	1104	1620	1766	1867	612	0
CIAO3	781.294118	340	145	326	0	191	0	95	0	2102	1760	368	946	585	2000	2114	1828	482	0
RNF166	771.705882	102	0	175	0	212	0	219	0	1410	2092	565	1780	460	1631	1527	1869	1077	0
CTU2	771.705882	102	0	175	0	212	0	219	0	1410	2092	565	1780	460	1631	1527	1869	1077	0
LAMP1	765.294118	391	0	117	0	210	0	138	0	2287	654	235	407	646	2041	2350	1913	1621	0
HEXA	745.588235	1082	0	145	0	266	0	0	0	2393	316	0	182	574	2089	2493	2124	1011	0
