Target_genes	HMGB2|Average	SRX2765965|HUVEC	SRX1993515|IMR-90	SRX1993516|IMR-90	SRX2765967|Lung_fibroblasts	SRX2765968|Lung_fibroblasts	STRING
ICE1	1161.600000	2393	0	0	1921	1494	0
PSMD1	1101.200000	2440	0	0	1855	1211	0
CACTIN	1056.000000	1904	0	0	1849	1527	0
TBCK	1046.400000	2427	0	0	1792	1013	0
AIMP1	1046.400000	2427	0	0	1792	1013	0
NDUFA4	1039.200000	2266	0	0	1725	1205	0
C19orf48	997.400000	1920	0	0	1679	1388	0
PSMG2	952.600000	1969	0	0	1649	1145	0
CEP76	952.600000	1969	0	0	1649	1145	0
STAM	943.400000	2080	0	0	1567	1070	0
NUP85	942.200000	1820	0	0	1572	1319	0
PNO1	924.600000	1907	0	0	1511	1205	0
TSN	919.000000	2018	0	0	1707	870	0
POLR3F	914.800000	2054	0	0	1579	941	0
DZANK1	914.800000	2054	0	0	1579	941	0
ZNF335	903.600000	1587	0	0	1491	1440	0
UPF2	869.400000	1987	0	0	1601	759	0
GOSR2	866.400000	1672	0	0	1453	1207	0
SLC35B1	853.200000	1655	0	0	1412	1199	0
HSPA9	850.800000	1766	0	0	1562	926	0
VDAC2	844.800000	1514	0	0	1572	1138	0
COX7A2L	840.600000	1822	0	0	1324	1057	0
IPO13	831.400000	1482	0	0	1580	1095	0
MAPKAPK5	830.600000	1522	0	0	1380	1251	0
SEC61B	812.000000	1687	0	0	1337	1036	0
ALG2	812.000000	1687	0	0	1337	1036	0
STAM2	805.400000	1647	0	0	1458	922	0
NVL	796.800000	1576	0	0	1304	1104	0
ZNF576	785.600000	1402	0	0	1366	1160	0
IRGQ	785.600000	1402	0	0	1366	1160	0
DCTN1	778.000000	1403	0	0	1434	1053	0
RPL21	775.400000	1510	0	0	1502	865	0
RBBP5	771.200000	1768	0	0	1151	937	0
RWDD1	769.800000	1498	0	0	1363	988	0
HADHB	769.000000	1478	0	0	1383	984	0
HADHA	769.000000	1478	0	0	1383	984	0
CAPRIN1	768.000000	1258	0	0	1435	1147	0
SMC2	759.600000	1813	0	0	1194	791	0
SUPV3L1	759.000000	1579	0	0	1212	1004	0
EXOSC5	749.200000	1266	0	0	1531	949	0
BCKDHA	749.200000	1266	0	0	1531	949	0
DYNC1LI2	746.800000	1170	0	0	1636	928	0
LYRM4	746.400000	1449	0	0	1206	1077	0
FARS2	746.400000	1449	0	0	1206	1077	0
VTI1B	742.400000	1225	0	0	1487	1000	0
PROSER1	740.600000	1538	0	0	1276	889	0
NHLRC3	740.600000	1538	0	0	1276	889	0
ZRANB2	735.600000	1808	0	0	1155	715	0
SUDS3	723.600000	1201	0	0	1393	1024	0
PES1	723.600000	1534	0	0	1215	869	0
TSNAX	720.600000	1290	0	0	1388	925	0
FARSB	712.400000	1634	0	0	1243	685	0
NUP205	704.600000	1411	0	0	1339	773	0
MRPS5	702.800000	1113	0	0	1187	1214	0
BLCAP	702.600000	1203	0	0	1312	998	0
USP1	701.000000	1516	0	0	1172	817	0
ATP5MG	695.800000	1644	0	0	944	891	0
EFTUD2	683.200000	971	0	0	1436	1009	0
CCDC103	683.200000	971	0	0	1436	1009	0
PDAP1	660.200000	1274	0	0	1011	1016	0
BUD31	660.200000	1274	0	0	1011	1016	0
SKP1	632.600000	1347	0	0	1129	687	0
PAK1IP1	626.600000	1285	0	0	1065	783	0
C6orf52	626.600000	1285	0	0	1065	783	0
NME6	623.200000	1586	0	0	1065	465	0
SUCLG1	614.600000	1239	0	0	789	1045	0
UFM1	606.400000	1380	0	0	985	667	0
EIF4ENIF1	589.000000	1017	0	0	1065	863	0
PCBP1	587.600000	1060	0	0	1003	875	0
REXO1	585.400000	1242	0	0	947	738	0
MRPS7	584.600000	1151	0	0	1080	692	0
GGA3	584.600000	1151	0	0	1080	692	0
DDX39B	575.600000	1149	0	0	1017	712	0
GTF3C4	564.000000	1527	0	0	710	583	0
DDX31	564.000000	1527	0	0	710	583	0
TMED1	554.600000	1126	0	0	1064	583	0
VARS1	533.400000	932	0	0	842	893	0
ACTR10	525.600000	1248	0	0	805	575	0
PI4KB	524.200000	1302	0	0	932	387	0
RABL2B	522.200000	842	0	0	1439	330	0
RPS12	522.000000	1056	0	0	1004	550	0
TM9SF1	516.800000	1264	0	0	725	595	0
SRD5A1	515.800000	719	0	0	994	866	0
TTC8	512.800000	1145	0	0	826	593	0
RPL35A	500.000000	928	0	0	930	642	0
IQCG	500.000000	928	0	0	930	642	0
COMMD1	499.800000	767	0	0	966	766	0
CCT4	499.800000	767	0	0	966	766	0
