Target_genes	KLF4|Average	SRX130062|BJ	SRX5360641|BJ	SRX5360642|BJ	SRX5360649|BJ	SRX5360650|BJ	SRX5360661|BJ	SRX5360662|BJ	SRX2732458|Glioblastoma	SRX2732459|Glioblastoma	SRX2732460|Glioblastoma	SRX5763015|HAP1	SRX011573|hESC_H1	SRX3288568|hESC_H9	SRX3288569|hESC_H9	SRX5763013|hESC_WIBR3	SRX1813594|iPS_cells	SRX1813595|iPS_cells	SRX512371|iPS_cells	SRX543181|Keratinocytes	SRX194578|MCF-7	SRX1813588|MRC-5	SRX1813589|MRC-5	SRX1813590|MRC-5	SRX1813591|MRC-5	SRX1813592|MRC-5	SRX1813593|MRC-5	SRX2732212|MRC-5	SRX2732213|MRC-5	SRX1389376|PDAC	STRING
MAP1LC3C	419.137931	552	587	0	728	943	575	0	0	0	840	332	0	786	1016	191	0	0	1104	816	1347	0	0	0	0	0	0	0	0	2338	0
CALCOCO1	392.206897	404	558	0	482	802	878	131	0	0	160	519	0	877	879	0	0	0	535	278	1841	0	0	0	0	0	0	0	112	2918	0
STRA8	346.172414	513	157	0	244	262	392	0	0	0	0	236	0	1827	2153	0	0	0	1637	0	1737	0	0	0	0	0	0	0	0	881	0
HM13	275.896552	133	174	0	650	991	432	244	0	0	824	347	0	368	365	0	0	0	392	860	1674	0	0	0	0	0	0	0	0	547	0
USP32	251.379310	0	0	0	653	598	445	173	0	0	304	244	0	152	185	0	0	0	207	715	2807	0	0	0	0	0	0	0	0	807	0
TUBB2A	242.896552	0	270	0	900	963	303	143	0	0	210	592	0	528	516	0	0	0	774	1378	467	0	0	0	0	0	0	0	0	0	0
MTRNR2L2	227.620690	1103	0	0	0	0	0	0	419	652	800	1381	270	184	279	0	0	0	350	871	0	0	0	0	0	0	0	0	0	292	0
GRSF1	215.310345	224	0	0	1190	1060	1615	299	0	0	0	506	0	0	0	0	0	0	0	1165	0	0	0	0	0	0	0	0	0	185	0
DST	201.517241	203	156	0	369	406	459	0	0	0	554	259	0	350	515	0	0	0	502	679	832	0	0	0	0	0	0	0	0	560	0
MTRNR2L8	193.758621	798	0	0	0	0	191	0	289	514	474	926	125	317	525	0	0	0	95	650	115	0	0	0	0	0	0	0	0	600	0
RPL27	180.862069	124	153	0	456	619	784	134	0	0	194	294	0	380	434	0	0	0	175	827	237	0	0	0	0	0	0	0	0	434	0
PSMF1	172.379310	392	125	0	459	643	979	133	0	0	0	259	0	161	195	0	0	0	159	1079	159	0	0	0	0	0	0	0	0	256	0
MMUT	166.655172	228	0	0	451	450	536	0	0	0	124	0	0	148	200	0	0	0	206	1265	187	0	0	0	0	0	0	0	0	1038	0
CENPQ	166.655172	228	0	0	451	450	536	0	0	0	124	0	0	148	200	0	0	0	206	1265	187	0	0	0	0	0	0	0	0	1038	0
CD55	147.724138	191	0	0	395	541	470	156	0	0	127	80	0	0	126	0	0	0	0	694	422	0	0	0	0	0	0	0	0	1082	0
HSPE1-MOB4	146.620690	186	0	0	540	729	924	185	0	0	114	521	0	0	205	0	0	0	0	544	191	0	0	0	0	0	0	0	0	113	0
HSPE1	146.620690	186	0	0	540	729	924	185	0	0	114	521	0	0	205	0	0	0	0	544	191	0	0	0	0	0	0	0	0	113	0
HSPD1	146.620690	186	0	0	540	729	924	185	0	0	114	521	0	0	205	0	0	0	0	544	191	0	0	0	0	0	0	0	0	113	0
PARP4	144.586207	0	0	0	294	336	344	0	0	0	0	0	0	118	255	0	0	0	151	1417	860	0	0	0	0	0	0	0	0	418	0
INO80C	144.310345	260	0	0	494	697	732	0	0	0	274	251	0	151	0	0	0	0	0	1015	0	0	0	0	0	0	0	0	0	311	0
CCNT1	142.965517	216	0	0	733	772	765	266	0	0	282	264	0	0	0	0	0	0	0	463	238	0	0	0	0	0	0	0	0	147	0
MRPS18B	139.344828	98	159	0	272	359	433	0	0	0	120	0	0	209	95	0	0	0	362	942	324	0	0	0	0	0	0	0	0	668	0
CCDC97	138.655172	200	0	0	214	342	497	0	0	0	269	250	0	0	216	0	0	0	158	873	94	0	0	0	0	0	0	0	0	908	0
ANKRD36C	135.448276	0	0	0	470	733	630	166	0	0	0	235	0	0	0	79	0	0	0	829	325	0	0	0	0	0	0	0	0	461	0
IPO4	132.034483	159	0	0	458	457	611	0	0	0	0	181	0	149	344	0	0	0	96	683	426	0	0	0	0	0	0	0	0	265	0
POLK	129.689655	243	172	0	399	320	341	0	0	0	203	0	0	284	244	0	0	0	134	681	289	0	0	0	0	0	0	0	0	451	0
CERT1	129.689655	243	172	0	399	320	341	0	0	0	203	0	0	284	244	0	0	0	134	681	289	0	0	0	0	0	0	0	0	451	0
HPCAL1	128.724138	170	0	0	279	257	264	0	0	0	331	328	0	301	339	0	0	0	367	505	306	0	0	0	0	0	0	0	0	286	0
S100A2	127.689655	148	216	0	374	457	319	0	0	0	117	0	0	316	390	0	0	0	100	164	534	0	0	0	0	0	0	0	0	568	0
FOXN2	127.137931	163	167	0	410	519	547	100	0	0	123	250	0	178	141	0	0	0	146	338	173	0	0	0	0	0	0	0	0	432	0
ANKRD36	124.862069	0	0	0	367	672	529	170	0	0	0	275	0	0	0	0	0	0	0	752	471	0	0	0	0	0	0	0	0	385	0
TATDN1	124.551724	136	0	0	265	353	517	0	0	0	128	0	0	167	243	0	0	0	206	457	758	0	0	0	0	0	0	0	0	382	0
NDUFB9	124.551724	136	0	0	265	353	517	0	0	0	128	0	0	167	243	0	0	0	206	457	758	0	0	0	0	0	0	0	0	382	0
TET3	122.000000	0	0	0	0	152	628	0	0	0	0	0	0	0	0	0	0	0	0	1733	452	0	0	0	0	0	0	0	0	573	0
NRAS	120.793103	117	0	0	299	496	667	122	0	0	0	128	0	262	147	0	0	0	0	484	523	0	0	0	0	0	0	0	0	258	0
P2RX7	120.689655	173	0	0	496	589	532	151	0	0	100	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	0	0	169	0
RRP15	118.724138	0	0	0	300	367	323	0	0	0	211	132	0	0	166	0	0	0	110	834	353	0	0	0	0	0	0	0	0	647	0
ZNF335	117.517241	220	0	0	279	404	469	0	0	0	0	183	0	0	0	0	0	0	0	824	274	0	0	0	0	0	0	0	0	755	0
ACYP1	116.034483	0	0	0	585	705	647	171	0	0	128	0	0	0	103	0	0	0	0	333	115	0	0	0	0	0	0	0	0	578	0
EIF1	115.931034	103	0	0	284	395	395	89	0	0	151	129	0	93	245	0	0	0	90	619	0	0	0	0	0	0	0	0	0	769	0
PICALM	115.586207	0	0	0	549	663	766	224	0	0	0	82	0	105	177	0	0	0	0	422	151	0	0	0	0	0	0	0	0	213	0
PHF5A	115.275862	97	0	0	110	415	413	0	0	0	179	376	0	0	132	0	0	0	0	971	0	0	0	0	0	0	0	0	0	650	0
ACO2	115.275862	97	0	0	110	415	413	0	0	0	179	376	0	0	132	0	0	0	0	971	0	0	0	0	0	0	0	0	0	650	0
NCOA3	115.000000	0	0	0	197	211	223	0	0	0	61	188	0	125	252	0	0	0	89	319	1456	0	0	0	0	0	0	0	0	214	0
CDKL2	114.551724	128	0	0	189	292	564	0	0	0	0	0	0	171	234	0	0	0	224	407	656	0	0	0	0	0	0	0	0	457	0
NFU1	114.206897	282	0	0	412	569	687	123	0	0	251	122	0	0	0	0	0	0	118	275	0	0	0	0	0	0	0	0	0	473	0
RPL37	112.275862	80	133	0	470	584	726	0	0	0	111	190	0	0	0	0	0	0	0	475	195	0	0	0	0	0	0	0	0	292	0
SCFD1	112.137931	314	0	0	200	270	579	113	0	0	0	196	0	147	0	0	0	0	112	692	0	0	0	0	0	0	0	0	0	629	0
CARS2	111.655172	124	183	0	537	544	685	118	0	0	0	124	0	148	112	0	0	0	90	337	0	0	0	0	0	0	0	0	0	236	0
IBA57	110.517241	164	0	0	551	673	562	213	0	0	0	285	0	0	0	82	0	0	0	313	148	0	0	0	0	0	0	0	0	214	0
PDCD6	110.034483	0	0	0	258	215	531	97	0	0	0	93	0	0	147	0	0	0	0	896	636	0	0	0	0	0	0	0	0	318	0
ZC2HC1C	108.793103	0	0	0	585	705	647	171	0	0	128	0	0	0	103	0	0	0	0	333	115	0	0	0	0	0	0	0	0	368	0
TRIM37	108.758621	139	0	0	178	142	342	0	0	0	0	159	0	0	144	0	0	0	0	343	1305	0	0	0	0	0	0	0	0	402	0
SPATC1L	108.758621	0	0	0	239	263	319	0	0	0	0	0	0	370	656	0	0	0	134	366	0	0	0	0	0	0	0	0	0	807	0
RIF1	107.724138	168	0	0	365	308	429	87	0	0	0	193	0	350	332	0	0	0	228	515	0	0	0	0	0	0	0	0	0	149	0
RUVBL1	107.310345	61	0	0	410	517	601	0	0	0	0	236	0	0	150	0	0	0	80	640	162	0	0	0	0	0	0	0	0	255	0
PRELID2	107.103448	0	0	0	468	404	599	104	0	0	109	234	0	0	0	0	0	0	78	867	0	0	0	0	0	0	0	0	0	243	0
IFRD1	106.827586	0	290	0	153	120	260	0	0	0	0	0	0	329	477	0	0	0	179	378	524	0	0	0	0	0	0	0	0	388	0
GRK6	106.137931	210	0	0	135	149	235	0	0	0	0	0	0	148	0	0	0	0	99	792	264	0	0	0	0	0	0	0	0	1046	0
GET4	105.793103	112	0	0	320	603	484	174	0	0	198	167	0	242	336	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0
UBA52	105.517241	145	0	0	306	363	277	0	0	0	123	139	0	274	302	0	0	0	94	868	0	0	0	0	0	0	0	0	0	169	0
KMT2A	104.758621	0	0	0	262	758	376	0	0	0	109	453	0	0	0	0	0	0	0	475	510	0	0	0	0	0	0	0	0	95	0
TMEM222	103.689655	146	0	0	317	619	516	134	0	0	116	188	0	0	0	0	0	0	95	752	0	0	0	0	0	0	0	0	0	124	0
SDE2	103.103448	0	0	0	381	435	653	128	0	0	0	0	0	168	182	0	0	0	0	653	71	0	0	0	0	0	0	0	0	319	0
SNX15	103.068966	109	0	0	189	357	504	146	0	0	148	143	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	625	0
ACOT7	102.034483	0	0	0	248	370	520	183	0	0	0	122	0	0	129	0	0	0	0	789	0	0	0	0	0	0	0	0	0	598	0
RASAL1	101.689655	0	0	0	153	265	292	0	0	0	0	0	0	0	0	0	0	0	0	278	1777	0	0	0	0	0	0	0	0	184	0
C3orf14	100.620690	199	0	0	335	338	368	0	0	0	0	170	0	146	0	0	0	0	0	587	775	0	0	0	0	0	0	0	0	0	0
