Target_genes	MYBL2|Average	SRX4680620|A-673	SRX14963950|A549	SRX14963951|A549	SRX040562|HeLa	SRX040563|HeLa	SRX10478355|Hep_G2	SRX10478356|Hep_G2	SRX190332|Hep_G2	SRX734308|HMEC	SRX3322026|K-562	SRX3322027|K-562	SRX5242427|LNCAP	SRX5242428|LNCAP	SRX5242429|LNCAP	SRX5242430|LNCAP	SRX4213900|MCF_10A	SRX4213901|MCF_10A	STRING
UBE2S	884.529412	632	653	659	0	0	1522	1986	624	175	3353	2761	0	0	0	0	521	2151	0
SGO2	830.764706	463	192	176	0	0	1910	2021	1491	175	2456	2748	0	0	0	0	562	1929	0
CDC20	810.294118	770	207	0	0	0	1947	2277	1244	0	3132	2680	0	0	0	0	213	1305	0
BUB1B	807.058824	1256	115	0	0	0	2078	2144	1227	122	2549	2734	0	0	0	0	278	1217	0
WEE1	787.529412	166	412	548	0	0	1602	1695	1323	143	2219	2284	0	0	0	0	735	2261	0
EZH2	782.235294	424	633	788	0	0	1998	2029	1452	148	2192	2206	0	0	0	0	373	1055	0
HMGB2	771.117647	255	197	380	0	0	1692	1599	1421	82	3497	2692	0	0	0	0	0	1294	0
PLK1	769.176471	740	199	329	0	0	1742	1611	1454	103	2780	2610	0	0	0	0	276	1232	0
PRC1	759.647059	494	374	367	0	0	1796	1914	1011	107	2573	2727	0	0	0	0	239	1312	0
BIRC5	759.529412	1138	332	409	0	0	1956	2029	1063	145	2453	2599	0	0	0	0	125	663	0
DEPDC1	731.235294	439	305	176	0	0	1650	1967	797	213	2160	2557	0	0	0	0	393	1774	0
G2E3	727.823529	317	253	208	0	0	1689	1586	1282	164	2449	2475	0	0	0	0	452	1498	0
CSTF1	721.176471	335	293	496	134	0	1434	1498	1115	226	2991	2353	0	0	0	0	235	1150	0
AURKA	721.176471	335	293	496	134	0	1434	1498	1115	226	2991	2353	0	0	0	0	235	1150	0
BUB1	720.470588	394	107	0	0	0	1620	1896	1260	0	2495	2502	0	0	0	0	221	1753	0
CENPF	712.705882	486	161	235	99	0	1667	1931	1147	0	2946	2425	0	0	0	0	120	899	0
NDC80	709.294118	1179	94	0	0	0	2063	2144	1072	0	2151	2358	0	0	0	0	165	832	0
METTL4	709.294118	1179	94	0	0	0	2063	2144	1072	0	2151	2358	0	0	0	0	165	832	0
KCTD9	708.647059	610	463	441	0	0	1199	1662	733	142	3158	2792	0	0	0	0	0	847	0
CDCA2	708.647059	610	463	441	0	0	1199	1662	733	142	3158	2792	0	0	0	0	0	847	0
RACGAP1	693.294118	921	258	242	164	148	1573	1891	754	107	2192	2330	0	0	0	0	146	1060	0
KIF15	685.705882	464	143	0	0	0	2086	2217	1273	0	2500	2510	0	0	0	0	0	464	0
KIAA1143	685.705882	464	143	0	0	0	2086	2217	1273	0	2500	2510	0	0	0	0	0	464	0
CKAP5	683.235294	805	196	284	0	0	1945	2177	855	0	2139	2284	0	0	0	0	115	815	0
KIFC1	668.294118	268	138	163	0	0	1742	1824	967	133	2639	2490	0	0	0	0	124	873	0
ECT2	668.000000	310	219	145	0	0	1433	1783	902	86	2681	2530	0	0	0	0	202	1065	0
ARHGEF39	667.411765	396	382	361	0	0	2056	2098	917	125	1372	1820	0	0	0	0	311	1508	0
UBE2T	665.588235	97	160	234	0	0	1618	2120	813	0	3035	2471	0	0	0	0	0	767	0
CCNA2	658.882353	690	0	0	0	0	1924	2186	827	0	2421	2418	0	0	0	0	167	568	0
CALM2	638.058824	498	265	420	0	0	1500	1653	803	80	2621	2025	0	0	0	0	111	871	0
CKAP2L	636.352941	474	144	0	0	0	1750	1819	896	0	2462	2432	0	0	0	0	131	710	0
SPC25	632.352941	1590	0	0	0	0	2040	2245	894	0	1595	2200	0	0	0	0	0	186	0
NUF2	630.647059	737	0	0	0	0	1718	2222	893	0	1827	2535	0	0	0	0	168	621	0
TOP2A	613.058824	491	164	179	134	0	1261	1492	815	0	2826	2534	0	0	0	0	0	526	0
SMC4	608.529412	387	129	176	124	0	1705	1994	968	0	2397	2259	0	0	0	0	0	206	0
IFT80	608.529412	387	129	176	124	0	1705	1994	968	0	2397	2259	0	0	0	0	0	206	0
PBK	604.352941	880	169	237	0	0	2144	2301	1165	0	1237	1586	0	0	0	0	92	463	0
CCNB1	598.705882	279	152	136	0	0	1803	1829	820	88	2157	2274	0	0	0	0	0	640	401
CDKN2D	582.941176	350	0	0	0	0	1889	2005	1081	0	2179	2257	0	0	0	0	0	149	0
TPX2	582.058824	413	122	0	0	0	1611	1725	1115	0	2461	2044	0	0	0	0	0	404	0
PHF19	575.000000	262	187	169	0	0	1507	1892	547	0	2728	1715	0	0	0	0	0	768	0
H4C3	573.411765	1478	0	0	198	142	1084	1566	1633	0	1622	1598	0	0	0	0	163	264	0
