Target_genes	TCF7L2|Average	SRX094470|293	SRX097074|CD34_Hematopoietic_stem_cells	SRX097075|CD34_Hematopoietic_stem_cells	SRX094469|HCT_116	SRX5486437|HCT_116	SRX5486438|HCT_116	SRX5486439|HCT_116	SRX748421|HCT_116	SRX748422|HCT_116	SRX748423|HCT_116	SRX748424|HCT_116	SRX748427|HCT_116	SRX748428|HCT_116	SRX748429|HCT_116	SRX748430|HCT_116	SRX100941|HeLa	SRX150704|HeLa	SRX094468|Hep_G2	SRX097091|K-562	SRX101163|K-562	SRX367192|LNCAP	SRX100943|MCF-7	SRX250094|MDA-MB-453	SRX250095|MDA-MB-453	SRX100942|PANC-1	SRX097098|U-937	STRING
RPS27	1613.807692	3127	2140	2265	2819	1116	1122	1157	786	280	272	394	429	258	462	292	3211	2840	795	2032	1801	2269	3407	202	2894	3574	2015	0
SLC25A28	1543.384615	2935	912	1195	2296	1192	1410	1283	1929	691	959	1092	1304	495	987	919	3087	2997	588	380	594	2164	3498	367	2731	3490	633	0
TACC1	1494.192308	2991	2120	2143	2873	2583	2939	3129	0	0	0	0	0	0	0	0	1931	3086	0	2251	760	1799	2243	995	1053	3602	2351	0
HINT3	1321.307692	2728	739	842	2657	1568	1963	1916	0	0	0	0	0	0	0	0	2010	3520	301	819	541	1771	2621	3045	3221	3461	631	0
AP3M1	1198.384615	2766	712	914	2509	934	1142	948	851	305	546	549	730	318	602	412	2107	3090	453	487	801	1433	2715	291	1956	3330	257	0
ADK	1198.384615	2766	712	914	2509	934	1142	948	851	305	546	549	730	318	602	412	2107	3090	453	487	801	1433	2715	291	1956	3330	257	0
ZNF703	1181.730769	2247	951	849	2189	1093	1221	1274	0	0	0	0	0	0	0	0	2670	2749	161	1590	980	797	3157	2376	2394	2611	1416	0
PHOSPHO1	1171.346154	2495	603	578	2550	1660	1862	1930	0	0	0	0	0	0	0	0	1867	2943	130	515	144	1626	3323	1744	2788	3275	422	0
AXIN2	1148.346154	2113	1079	1102	1414	1711	1857	1654	0	0	0	0	0	0	0	0	2561	2367	147	1824	1540	745	2303	2245	1742	1925	1528	0
MED1	1144.769231	2047	1226	1484	2466	821	1056	1213	508	293	305	428	476	254	436	257	2256	3393	0	376	483	1319	1799	497	3105	2959	307	0
