protein1Name	protein1ID	protein2Name	protein2ID	pmid	cellType	exprType	modification_date
POU5F1	18999	CHD4	107932	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	MTA1	116870	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	GATAD2A	234366	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	MTA2	23942	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	GATAD2B	229542	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	HDAC1	433759	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	MBD3	17192	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	MTA3	116871	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	HDAC2	15182	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	RBBP7	245688	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	SMARCC1	20588	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	SMARCA4	20586	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	PHC1	13619	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	RNF2	19821	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	RYBP	56353	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	TRRAP	100683	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	EP400	75560	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	KDM1	99982	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	ZMYM2	76007	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	RCOR2	104383	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	SALL4	99377	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	SALL1	58198	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	ZFP219	69890	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	ARID3B	56380	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	WDR5	140858	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	ZFP462	242466	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	SOX2	20674	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	MGA	232714	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	UBP1	22221	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	NACC1	66830	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	HCFC1	15161	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	HELLS	15201	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	RBPJ	19664	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	TCFCP2L1	81879	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	DPF2	19708	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	ESRRB	26380	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	PML	56188	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	FOXP4	74123	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	CTBP2	13017	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	NR0B1	11614	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	ZFP143	20841	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	KLF5	12224	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	RIF1	321000	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	L1TD1	381591	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	AKAP8	56399	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	MSH2	17685	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	OGT	108155	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	RBM14	56275	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	FRG1	14300	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	SMC1A	24061	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	EMSY	233545	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	0610010K14RIK	104457	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	2810474O19RIK	67246	20362541	MESC	IP-MS	10/22/2010
POU5F1	18999	ZCCHC8	70650	20362541	MESC	IP-MS	10/22/2010
