regulator_symbol,regulator_id,target_symbol,target_id,database,evidence,confidence
MAFB,9935,JUN,3725,hprd,Predicted,Low
MAFB,9935,MAFB,9935,hprd,Predicted,Low
HMGB2,3148,APEX1,328,hprd,Predicted,Low
HMGB2,3148,CSNK1A1,1452,hprd,Predicted,Low
HMGB2,3148,GZMA,3001,hprd,Predicted,Low
HMGB2,3148,PGR,5241,hprd,Predicted,Low
HMGB2,3148,POU2F1,5451,hprd,Predicted,Low
HMGB2,3148,POU2F2,5452,hprd,Predicted,Low
HMGB2,3148,POU3F1,5453,hprd,Predicted,Low
HMGB2,3148,POU5F1,5460,hprd,Predicted,Low
HMGB2,3148,PRKDC,5591,hprd,Predicted,Low
HMGB2,3148,RAG1,5896,hprd,Predicted,Low
HMGB2,3148,SET,6418,hprd,Predicted,Low
HMGB2,3148,TP53,7157,hprd,Predicted,Low
MYBL2,4605,CCNA1,8900,hprd,Predicted,Low
MYBL2,4605,CCNA2,890,hprd,Predicted,Low
MYBL2,4605,CCND1,595,hprd,Predicted,Low
MYBL2,4605,CCNE1,898,hprd,Predicted,Low
MYBL2,4605,CDC34,997,hprd,Predicted,Low
MYBL2,4605,CDK2,1017,hprd,Predicted,Low
MYBL2,4605,CDK9,1025,hprd,Predicted,Low
MYBL2,4605,CREBBP,1387,hprd,Predicted,Low
MYBL2,4605,EP300,2033,hprd,Predicted,Low
MYBL2,4605,LIN9,286826,hprd,Predicted,Low
MYBL2,4605,MYBL2,4605,hprd,Predicted,Low
MYBL2,4605,NCOR1,9611,hprd,Predicted,Low
MYBL2,4605,NCOR2,9612,hprd,Predicted,Low
MYBL2,4605,PARP1,142,hprd,Predicted,Low
MYBL2,4605,RBL1,5933,hprd,Predicted,Low
MYBL2,4605,SKP2,6502,hprd,Predicted,Low
MYBL2,4605,SND1,27044,hprd,Predicted,Low
MYBL2,4605,TTF2,8458,hprd,Predicted,Low
MYBL2,4605,UBB,7314,hprd,Predicted,Low
MYBL2,4605,ZNF622,90441,hprd,Predicted,Low
MYBL2,4605,PSG1,5669,tred,Experimental,High
ID3,3399,ADD1,118,hprd,Predicted,Low
