Gene ID,Gene Symbol,TF
ENSG00000000419.12,DPM1,MYBL2
ENSG00000000457.13,SCYL3,MYBL2
ENSG00000001036.13,FUCA2,MYBL2
ENSG00000001084.10,GCLC,MYBL2
ENSG00000001167.14,NFYA,MYBL2
ENSG00000001461.16,NIPAL3,MYBL2
ENSG00000001497.16,LAS1L,MYBL2
ENSG00000001617.11,SEMA3F,MYBL2
ENSG00000001629.9,ANKIB1,MYBL2
ENSG00000001629.9,ANKIB1,MYBL2
ENSG00000001631.15,KRIT1,MYBL2
ENSG00000001631.15,KRIT1,MYBL2
ENSG00000002016.17,RAD52,MYBL2
ENSG00000002330.13,BAD,MYBL2
ENSG00000002549.12,LAP3,MYBL2
ENSG00000002586.18,CD99,MYBL2
ENSG00000002822.15,MAD1L1,MYBL2
ENSG00000002834.17,LASP1,MYBL2
ENSG00000003056.7,M6PR,MYBL2
ENSG00000003249.13,DBNDD1,MYBL2
ENSG00000003249.13,DBNDD1,MYBL2
ENSG00000003393.14,ALS2,MYBL2
ENSG00000003400.14,CASP10,MYBL2
ENSG00000003402.19,CFLAR,MYBL2
ENSG00000003509.15,NDUFAF7,MYBL2
ENSG00000003756.16,RBM5,MYBL2
ENSG00000003989.16,SLC7A2,MYBL2
ENSG00000004142.11,POLDIP2,MYBL2
ENSG00000004487.15,KDM1A,MYBL2
ENSG00000004534.14,RBM6,MYBL2
ENSG00000004700.15,RECQL,MYBL2
ENSG00000004766.15,VPS50,MYBL2
ENSG00000004776.11,HSPB6,MYBL2
ENSG00000004777.18,ARHGAP33,MYBL2
ENSG00000004779.9,NDUFAB1,MYBL2
ENSG00000004864.13,SLC25A13,MYBL2
ENSG00000004864.13,SLC25A13,MYBL2
ENSG00000004897.11,CDC27,MYBL2
ENSG00000004975.11,DVL2,MYBL2
ENSG00000005007.12,UPF1,MYBL2
ENSG00000005007.12,UPF1,MYBL2
ENSG00000005022.5,SLC25A5,MYBL2
ENSG00000005075.15,POLR2J,MYBL2
ENSG00000005100.12,DHX33,MYBL2
ENSG00000005156.11,LIG3,MYBL2
ENSG00000005156.11,LIG3,MYBL2
ENSG00000005175.9,RPAP3,MYBL2
ENSG00000005189.19,AC004381.6,MYBL2
ENSG00000005194.14,CIAPIN1,MYBL2
ENSG00000005206.16,SPPL2B,MYBL2
ENSG00000005238.19,FAM214B,MYBL2
ENSG00000005436.13,GCFC2,MYBL2
ENSG00000005448.16,WDR54,MYBL2
ENSG00000005469.11,CROT,MYBL2
ENSG00000005483.20,KMT2E,MYBL2
ENSG00000005700.14,IBTK,MYBL2
ENSG00000005801.16,ZNF195,MYBL2
ENSG00000005810.17,MYCBP2,MYBL2
ENSG00000005882.11,PDK2,MYBL2
ENSG00000006007.11,GDE1,MYBL2
ENSG00000006015.17,C19orf60,MYBL2
ENSG00000006015.17,C19orf60,MYBL2
ENSG00000006025.11,OSBPL7,MYBL2
ENSG00000006062.13,MAP3K14,MYBL2
ENSG00000006118.14,TMEM132A,MYBL2
ENSG00000006125.16,AP2B1,MYBL2
ENSG00000006194.9,ZNF263,MYBL2
ENSG00000006194.9,ZNF263,MYBL2
ENSG00000006210.6,CX3CL1,MYBL2
ENSG00000006282.20,SPATA20,MYBL2
ENSG00000006451.7,RALA,MYBL2
ENSG00000006459.10,KDM7A,MYBL2
ENSG00000006530.15,AGK,MYBL2
ENSG00000006576.16,PHTF2,MYBL2
ENSG00000006607.13,FARP2,MYBL2
ENSG00000006625.17,GGCT,MYBL2
ENSG00000006634.7,DBF4,MYBL2
ENSG00000006652.13,IFRD1,MYBL2
ENSG00000006695.10,COX10,MYBL2
ENSG00000006712.14,PAF1,MYBL2
ENSG00000006744.18,ELAC2,MYBL2
ENSG00000006757.11,PNPLA4,MYBL2
ENSG00000006837.11,CDKL3,MYBL2
ENSG00000007001.12,UPP2,MYBL2
ENSG00000007047.14,MARK4,MYBL2
ENSG00000007080.10,CCDC124,MYBL2
ENSG00000007168.12,PAFAH1B1,MYBL2
ENSG00000007202.14,KIAA0100,MYBL2
ENSG00000007255.10,TRAPPC6A,MYBL2
ENSG00000007376.7,RPUSD1,MYBL2
ENSG00000007384.15,RHBDF1,MYBL2
ENSG00000007384.15,RHBDF1,MYBL2
ENSG00000007392.16,LUC7L,MYBL2
ENSG00000007520.3,TSR3,MYBL2
ENSG00000007545.15,CRAMP1,MYBL2
ENSG00000007923.15,DNAJC11,MYBL2
ENSG00000007944.14,MYLIP,MYBL2
ENSG00000007968.6,E2F2,MYBL2
ENSG00000008018.8,PSMB1,MYBL2
ENSG00000008083.13,JARID2,MYBL2
ENSG00000008128.22,CDK11A,MYBL2
ENSG00000008277.14,ADAM22,MYBL2
ENSG00000008282.8,SYPL1,MYBL2
ENSG00000008294.20,SPAG9,MYBL2
ENSG00000008300.15,CELSR3,MYBL2
ENSG00000008300.15,CELSR3,MYBL2
ENSG00000008311.14,AASS,MYBL2
ENSG00000008323.15,PLEKHG6,MYBL2
ENSG00000008324.10,SS18L2,MYBL2
ENSG00000008382.15,MPND,MYBL2
ENSG00000008394.12,MGST1,MYBL2
ENSG00000008513.14,ST3GAL1,MYBL2
ENSG00000008517.16,IL32,MYBL2
ENSG00000008710.18,PKD1,MYBL2
ENSG00000008869.11,HEATR5B,MYBL2
ENSG00000008952.16,SEC62,MYBL2
ENSG00000008988.9,RPS20,MYBL2
ENSG00000009307.15,CSDE1,MYBL2
ENSG00000009413.15,REV3L,MYBL2
ENSG00000009724.16,MASP2,MYBL2
ENSG00000009724.16,MASP2,MYBL2
ENSG00000009780.15,FAM76A,MYBL2
ENSG00000009830.11,POMT2,MYBL2
ENSG00000009844.15,VTA1,MYBL2
ENSG00000009950.15,MLXIPL,MYBL2
ENSG00000009954.10,BAZ1B,MYBL2
ENSG00000010017.12,RANBP9,MYBL2
ENSG00000010165.19,METTL13,MYBL2
ENSG00000010244.17,ZNF207,MYBL2
ENSG00000010270.13,STARD3NL,MYBL2
ENSG00000010292.12,NCAPD2,MYBL2
ENSG00000010318.20,PHF7,MYBL2
ENSG00000010319.6,SEMA3G,MYBL2
ENSG00000010361.13,FUZ,MYBL2
ENSG00000010626.14,LRRC23,MYBL2
ENSG00000010671.15,BTK,MYBL2
ENSG00000010704.18,HFE,MYBL2
ENSG00000010810.17,FYN,MYBL2
ENSG00000010818.8,HIVEP2,MYBL2
ENSG00000010818.8,HIVEP2,MYBL2
ENSG00000011009.10,LYPLA2,MYBL2
ENSG00000011021.21,CLCN6,MYBL2
ENSG00000011052.21,NME1-NME2,MYBL2
ENSG00000011114.14,BTBD7,MYBL2
ENSG00000011132.11,APBA3,MYBL2
ENSG00000011143.16,MKS1,MYBL2
ENSG00000011198.7,ABHD5,MYBL2
ENSG00000011243.17,AKAP8L,MYBL2
ENSG00000011243.17,AKAP8L,MYBL2
ENSG00000011258.15,MBTD1,MYBL2
ENSG00000011260.13,UTP18,MYBL2
ENSG00000011275.18,RNF216,MYBL2
ENSG00000011295.15,TTC19,MYBL2
ENSG00000011304.18,PTBP1,MYBL2
ENSG00000011347.9,SYT7,MYBL2
ENSG00000011376.9,LARS2,MYBL2
ENSG00000011405.13,PIK3C2A,MYBL2
ENSG00000011426.10,ANLN,MYBL2
ENSG00000011454.16,RABGAP1,MYBL2
ENSG00000011454.16,RABGAP1,MYBL2
ENSG00000011478.11,QPCTL,MYBL2
ENSG00000011485.14,PPP5C,MYBL2
ENSG00000011523.13,CEP68,MYBL2
ENSG00000011566.14,MAP4K3,MYBL2
ENSG00000012048.20,BRCA1,MYBL2
