TF_name	target_id	target_name	target_synonyms
SOX4	ENSG00000050405	LIMA1	EPLIN,SREBP3
SOX4	ENSG00000103502	CDIPT	PIS,PIS1
SOX4	ENSG00000134369	NAV1	POMFIL3,STEERIN1,UNC53H1
SOX4	ENSG00000144589	STK11IP	LIP1,LKB1IP,STK11IP1
SOX4	ENSG00000167925	GHDC	D11LGP1,LGP1
SOX4	ENSG00000170234	PWWP2A	MST101
SOX4	ENSG00000198218	QRICH1	-
SOX4	ENSG00000214725	CDIPT-AS1	-
SOX4	ENSG00000235121	RP11-90L20.2	-
SOX4	ENSG00000263528	IKBKE	IKK-E,IKK-i,IKKE,IKKI
SOX4	ENSG00000267649	CTD-2587H24.10	-
SOX4	ENSG00000278713	CTD-2574D22.7	-
SOX4	ENSG00000273387	RP3-412A9.16	-
SOX4	ENSG00000224397	LINC01272	-
SOX4	ENSG00000100068	LRP5L	-
SOX4	ENSG00000134899	ERCC5	COFS3,ERCC5-201,ERCM2,UVDR,XPG,XPGC
SOX4	ENSG00000225063	RP11-383G10.5	-
SOX4	ENSG00000276180	HIST1H4I	H4/m,H4FM,H4M
SOX4	ENSG00000253408	RP11-231D20.2	-
SOX4	ENSG00000067182	TNFRSF1A	CD120a,FPF,TBP1,TNF-R,TNF-R-I,TNF-R55,TNFAR,TNFR1,TNFR55,TNFR60,p55,p55-R,p60
SOX4	ENSG00000259940	CTD-3203P2.1	-
SOX4	ENSG00000169020	ATP5I	ATP5K
SOX4	ENSG00000100632	ERH	DROER
SOX4	ENSG00000206921	RNU6-481P	-
SOX4	ENSG00000212510	RNU6-972P	-
SOX4	ENSG00000111912	NCOA7	ERAP140,ESNA1,NCOA7-AS,Nbla00052,Nbla10993,TLDC4,dJ187J11.3
SOX4	ENSG00000149948	HMGA2	BABL,HMGI-C,HMGIC,LIPO,STQTL9
SOX4	ENSG00000201524	RNU6-450P	-
SOX4	ENSG00000267309	CTD-2630F21.1	-
SOX4	ENSG00000228436	RP5-864K19.4	-
SOX4	ENSG00000240775	RP11-170N16.2	-
SOX4	ENSG00000144791	LIMD1	-
SOX4	ENSG00000103404	USP31	-
SOX4	ENSG00000198919	DZIP3	PPP1R66,UURF2,hRUL138
SOX4	ENSG00000278970	HEIH	HCCAT2,LINC-HEIH,LINC00848,lncRNA-HEIH
SOX4	ENSG00000108375	RNF43	RNF124,SSPCS,URCC
SOX4	ENSG00000102931	ARL2BP	BART,BART1,RP66
SOX4	ENSG00000151458	ANKRD50	-
SOX4	ENSG00000163803	PLB1	PLB,PLB/LIP
SOX4	ENSG00000138646	HERC5	CEB1,CEBP1
SOX4	ENSG00000209645	SNORD105	U105
SOX4	ENSG00000154447	SH3RF1	POSH,RNF142,SH3MD2
SOX4	ENSG00000106069	CHN2	-
SOX4	ENSG00000279212	RP13-16H11.8	-
SOX4	ENSG00000130779	CLIP1	CLIP,CLIP-170,CLIP170,CYLN1,RSN
SOX4	ENSG00000212452	SNORD69	HBII-210
SOX4	ENSG00000275120	RP11-182J1.17	-
SOX4	ENSG00000161642	ZNF385A	HZF,RZF,ZFP385,ZNF385
SOX4	ENSG00000148908	RGS10	-
SOX4	ENSG00000108479	GALK1	GALK,GK1,HEL-S-19
SOX4	ENSG00000091140	DLD	DLDD,DLDH,E3,GCSL,LAD,PHE3
SOX4	ENSG00000186448	ZNF197	D3S1363E,P18,VHLaK,ZKSCAN9,ZNF166,ZNF20,ZSCAN41
SOX4	ENSG00000256206	PSMA1	-
SOX4	ENSG00000224023	FLJ37035	-
SOX4	ENSG00000081177	EXD2	C14orf114,EXDL2
SOX4	ENSG00000259164	RP11-463C8.4	-
SOX4	ENSG00000225398	PGM5P4	-
SOX4	ENSG00000196517	SLC6A9	GLYT1
SOX4	ENSG00000243319	FGF14-IT1	-
SOX4	ENSG00000143772	ITPKB	IP3-3KB,IP3K,IP3K-B,IP3KB,PIG37
SOX4	ENSG00000158747	NBL1	D1S1733E,DAN,DAND1,NB,NO3
SOX4	ENSG00000260278	RP11-109G23.3	-
SOX4	ENSG00000052749	RRP12	KIAA0690
SOX4	ENSG00000198680	TUSC1	TSG-9,TSG9
SOX4	ENSG00000221988	PPT2	C6orf8,G14,PPT-2
SOX4	ENSG00000025796	SEC63	DNAJC23,ERdj2,PCLD2,PRO2507,SEC63L
SOX4	ENSG00000200629	RNY1P11	-
SOX4	ENSG00000188060	RAB42	-
SOX4	ENSG00000198853	RUSC2	Iporin
SOX4	ENSG00000111364	DDX55	-
SOX4	ENSG00000159459	UBR1	JBS
SOX4	ENSG00000188981	MSANTD1	C4orf44
SOX4	ENSG00000231768	LINC01354	-
SOX4	ENSG00000259330	INAFM2	-
SOX4	ENSG00000236297	RP11-175P19.2	-
SOX4	ENSG00000239437	RN7SL752P	-
